X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
11.64739937	89.98756062	228.6794113	59.81408984	18.073513	6.062389352	0.62209636
35.91764964	38.41009875	46.59447142	47.48115298	24.16724432	6.285562338	0.564203631
24.03023151	89.51250652	292.573315	55.16471651	20.07558873	6.574710431	0.609504191
3.017509099	86.32928353	295.40861	42.75984842	21.24943084	5.547141587	0.636214221
12.19434199	90.27209157	297.7514256	51.13002826	21.07476379	6.213655447	0.581888255
33.25018741	89.46194481	299.6947371	57.46651596	17.17321532	5.999859872	0.621054388
6.641299401	87.57181238	304.1063293	55.69439195	22.38057746	6.88708385	0.644775428
13.23952464	88.74138267	313.4948123	71.39501835	19.1363844	8.253897351	0.497494572
11.41100559	87.83770966	277.0912012	56.17175377	21.9185978	6.406778424	0.570085887
16.39051575	102.8827421	325.4215099	17.85202419	16.94358906	5.641478236	0.435712425
33.33158486	96.76098342	334.6394273	63.49566113	17.35562343	6.121546232	0.589778101
3.682819769	89.44826932	334.7131724	50.94039137	17.67285726	6.416374664	0.599870157
10.06938815	100.4737056	338.3170572	38.84940502	18.83360157	5.897199077	0.588834031
8.128605812	90.29750497	339.2871571	59.85332506	16.90156067	7.433051333	0.633548644
17.57077938	101.4719935	339.3040245	43.18489661	20.24564086	7.016143738	0.625825512
13.91687403	97.53845663	342.1490102	50.66574484	19.20357915	7.03922084	0.555619671
14.69638305	87.64712553	348.8959727	38.49628806	22.7976736	9.923921414	0.620744812
11.51972879	89.52189348	351.0472522	40.69999947	20.37801115	8.428936323	0.606038316
15.93166389	103.225451	352.7614856	34.55314865	19.7150059	7.76028054	0.637868997
37.23457363	36.70027876	68.20918008	57.19186944	22.62074685	8.761692953	0.614993852
32.33104226	33.3304052	129.6066525	39.76489344	15.32944003	6.541747385	0.63731928
39.19257858	29.71891598	135.7891911	30.04109858	21.89792955	6.693594608	0.627429857
39.21699822	33.94550695	148.5897851	44.20501228	15.12880757	7.124613336	0.631925424
81.23400328	91.33475364	228.8799699	49.79603085	20.76115547	6.4304548	0.631518189
61.7463965	91.53471917	233.3873869	47.03648718	18.59466609	5.827069801	0.631841252
73.78983092	91.90926974	234.11839	49.6979428	18.46802448	5.194998501	0.606148196
