X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
10.14167917	87.31781667	21.38968333	26.67994824	41.7543196	10.11321586	0.64111305
8.003519936	102.1679529	21.29993551	24.43700161	43.41522505	10.8811035	0.652055759
10.68579751	106.4369629	22.76593925	20.99084163	39.05993829	8.940950062	0.661846112
8.218057496	109.2297348	25.05019629	21.15432171	44.81689234	9.185066133	0.66194749
6.196280011	104.4761071	26.56651129	23.7503853	41.29069191	9.472695714	0.649973744
2.730670863	101.8586085	29.74404287	21.81478121	40.97446316	9.244548516	0.660768656
11.85974659	105.8788256	32.69266757	26.39876251	45.39370074	12.20861852	0.65079228
9.07886825	110.0577733	41.65695706	20.10151002	42.17100203	9.382821554	0.646269342
13.12727427	105.2608098	44.48144631	33.06874957	51.2162858	13.55783066	0.649395792
16.76858223	101.0977474	47.59791645	27.15731006	50.23365593	12.9870375	0.645386771
11.81963321	85.01007995	52.72030376	22.40984868	46.58809299	8.539107561	0.642831895
15.69944606	86.54945426	52.81731438	24.73126575	46.963369	9.976321888	0.652893162
10.04696938	108.8247932	56.39259802	21.78208519	43.52549224	12.28796575	0.663356015
8.059980763	90.6400172	57.8448264	41.81166398	46.63814626	8.387388469	0.654346042
3.331026718	107.2866107	58.07113153	22.27252542	43.83333835	11.99105748	0.668343901
10.13839641	93.10674392	190.3833259	26.60801701	49.89267384	16.23945189	0.654922079
13.57661778	85.72801117	191.2332931	26.92843795	52.21323357	12.93820706	0.655294747
2.368284547	96.97418774	193.8435791	25.60097975	45.18837778	11.19479602	0.650034891
11.54110446	109.8539401	196.2850877	22.28560382	39.05555058	7.872974782	0.642708817
5.377506583	104.2791703	196.7317959	23.84193414	40.12117915	9.244795008	0.647225025
17.16070705	99.96862571	196.8909491	22.99183775	45.65804312	11.07876474	0.644863222
14.50855014	106.202361	198.5203009	25.10400032	49.79759637	14.40076061	0.656515705
7.223029429	88.39124985	205.9436054	10.887773	39.94328874	4.636511089	0.586658081
10.1750852	100.4310161	209.0955574	22.79566166	49.38702707	11.1816718	0.637513275
7.374340807	100.5486323	211.9283677	24.79011857	46.92571416	11.48969969	0.636924983
10.98635537	103.8837686	216.2301185	26.11103758	45.34618866	11.65354238	0.643323179
7.78619085	102.8114768	218.8225925	23.29918029	45.41878632	12.89800599	0.655131063
4.284875222	108.1047806	218.7922764	25.78407743	45.40086336	13.53000944	0.662450761
16.04748755	109.8216597	219.661212	33.62458183	46.69655201	11.663431	0.65486155
5.02483025	110.0002255	236.6435445	26.156812	39.6163006	10.12752979	0.632704858
12.24859899	95.86313949	237.5096503	24.70510893	44.27349735	11.89723242	0.666519345
9.948946882	106.3050636	237.7118218	21.91286925	51.61463815	16.22744015	0.634033994
2.185095575	104.0945787	238.4733304	21.27856656	41.56095819	10.20066366	0.634366689
12.17678947	103.5301053	239.041	23.23378826	45.08234754	11.31402492	0.629767264
6.724175732	105.2417583	242.3024062	20.31730372	41.30884279	10.12592377	0.653364319
5.723724138	102.9391621	245.8139621	20.86005757	40.97720968	9.473935883	0.640562161
3.269925532	109.2831862	248.7727819	20.89929279	40.09592272	9.673891103	0.650913982
4.881296435	99.86035567	249.205743	24.39776639	48.62263242	14.3113221	0.659481135
15.9277598	105.3749176	249.92434	26.35298809	45.22294139	11.20557648	0.641863162
12.9245567	103.3972131	251.6388488	20.9319888	41.57734295	9.986599105	0.631230418
2.287527572	104.4790615	262.9523404	24.66587372	44.38267194	14.4712844	0.641747926
4.809954239	106.1606575	104.6502783	17.4335152	34.90190132	6.385680041	0.659434668
17.73860905	100.5589218	105.1272716	27.01344759	49.27360723	14.96861791	0.651859832
17.26866001	90.66085735	105.7814523	22.59948557	44.41720006	10.60783734	0.637505869
3.644858244	96.15155589	105.9306548	15.26903901	45.18571123	7.464421625	0.639005343
16.65472414	93.51988218	108.4710402	25.03206908	48.48232021	11.75385362	0.653091278
7.685949179	106.4532414	108.8301174	21.10200808	41.72758793	8.628660415	0.654304496
4.508295	97.491735	110.169895	22.2332902	43.86501482	10.57812754	0.6508698
12.87049164	106.8109441	110.4927982	23.84847334	46.35778722	10.94226057	0.668493439
16.38122672	102.4762672	111.4056397	27.4581134	46.88553074	14.57917909	0.654198644
11.09726011	103.1692098	113.0228369	19.88571632	44.29006823	11.14135027	0.656576874
5.188972161	105.8787917	114.043386	20.90583199	43.82049986	11.55588758	0.658401631
11.08798323	108.8667428	114.7968526	25.73176381	41.55643999	11.42971123	0.659383017
4.11613969	99.03774088	116.9941094	27.43195659	42.46155799	10.68998732	0.645728293
5.955862713	84.38803734	118.4498666	11.90788866	35.76070421	5.4553786	0.586298762
12.36170359	103.0304628	118.4516098	26.56224259	48.74927452	13.57464025	0.657665247
15.55815671	89.65549675	120.2657711	11.05779227	36.28511003	6.562242624	0.651237277
15.17257955	103.6070202	123.1038008	27.2488589	47.38028806	13.46799986	0.657017436
8.958644514	99.40188284	125.7262976	22.82835767	44.5983211	11.95076458	0.650810543
3.173087577	108.9878276	125.7949105	23.37111152	46.38465205	10.00824151	0.650435222
10.35037579	109.1379492	127.4008738	16.47879156	43.28155157	7.438947344	0.644272634
