X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
123.5890933	100.6348851	20.56641865	36.53452716	28.1422619	8.845798098	0.632859955
136.1442105	12.18625871	25.94730853	33.21261204	25.31000738	8.327095911	0.641339142
143.4347436	6.540208383	29.73722043	38.53552328	29.62941385	10.2130236	0.640846037
142.9998792	8.287006081	44.8506549	38.71208176	23.35492204	6.576884244	0.59585034
128.7405192	98.35029436	24.83498017	37.9208382	31.41224622	10.79246685	0.626380399
142.6004876	101.1949814	31.62116149	23.16185703	22.64821246	6.762125637	0.618096024
158.0174857	13.75384181	66.83157654	44.76738374	31.22849607	11.11302805	0.612212326
163.1995417	10.38312729	77.86243559	33.95808118	29.33011612	8.999684686	0.650316555
151.6238301	6.791943172	21.07508055	23.70461088	19.88284903	7.275798224	0.642559236
162.6131186	13.30282692	21.33865064	22.4425447	27.4159836	9.155548849	0.633819977
161.7271173	17.10720055	22.9184672	26.31375287	24.23862915	8.924119126	0.621045205
159.6026424	7.661633554	26.84011871	26.66033063	24.22684295	9.395419735	0.644143201
159.0009796	13.18144845	27.43599699	21.75592838	23.23136355	8.010392007	0.616563621
165.8978218	10.23121552	28.20959483	25.03206908	19.42694793	7.576987245	0.608119936
163.1244631	17.9602069	29.3505	29.2040806	20.35962931	8.368538291	0.637881725
162.7064685	7.714017978	29.7664729	25.09746111	27.45899415	9.26966049	0.611693218
159.1292366	9.543408749	31.17371803	23.46919957	26.13560822	7.587681904	0.618111891
158.4990648	15.26817179	31.95976498	25.54212692	19.14628124	6.424670431	0.635961164
164.0241778	9.502962539	35.0674037	29.67490321	26.42280108	7.446240961	0.632415502
162.329294	3.998234436	42.93442388	31.826301	24.95960672	7.805054101	0.6514351
151.4083609	14.57775782	46.41136161	27.59543666	24.20104786	7.552736472	0.63652787
162.358861	5.410357879	49.04710631	26.01948874	23.93316653	8.417887022	0.644543924
152.4928016	6.242923077	49.13298014	28.64824834	28.17095991	8.398729852	0.648043476
157.9859256	10.00444079	54.39745915	20.65080307	27.46103252	8.336332537	0.620345427
155.7492502	13.91179678	54.6384706	30.47268598	30.84706952	9.297453203	0.622897063
154.5237935	5.541217411	55.39367867	28.69402276	29.59905083	9.743128072	0.632895369
153.7844323	10.18470263	55.70213689	16.91037896	27.58098203	9.588706552	0.588570985
151.1941469	88.43883062	20.99151059	29.34140386	27.89538837	8.352227871	0.651929063
153.1451538	99.59884341	34.38039835	26.18296881	28.95856957	7.864733602	0.611535514
157.1624967	261.9177735	25.73146541	33.17337682	31.29724646	9.078730556	0.550840295
156.9518885	266.3790524	27.32230638	33.72266987	29.246341	9.923992231	0.635901264
150.397398	262.2389389	31.45126775	52.87599546	28.64320621	6.752268171	0.610730017
156.8081626	260.811912	31.61655015	30.77348932	32.58054971	9.816165696	0.639990254
160.8226696	268.6896343	32.56478087	28.85750284	23.61904594	9.249989152	0.627332794
161.491087	262.9812609	33.77626087	28.1251121	27.14958187	9.167064871	0.639489999
160.4224399	258.1260274	35.03570414	28.90981646	29.71811557	8.331303118	0.636064536
163.6136577	262.1855205	47.83001556	20.59195025	23.14595328	7.203416715	0.609004084
159.5762617	257.6344295	48.25957718	32.15326115	25.10336767	8.367245221	0.644403459
162.1093557	269.1097356	50.99506019	29.00790451	22.25704047	8.244554998	0.578213036
164.33862	259.685117	51.71283668	28.66786595	30.94491872	7.726993965	0.607590005
157.778387	269.3671856	53.02818771	31.1789199	24.09499005	7.697518421	0.626697744
