X. Center of Geometry (µm)	Y. Center of Geometry (µm)	Z. Center of Geometry (µm)	Volume. Volume (µm³)	Mean. Intensities #1	SD. Intensities #1	Sphericity
8.45719797	267.5295609	85.25202284	28.3409058	22.29499498	7.21632321	0.624035805
16.70891898	264.9967096	87.94903192	37.28653551	27.52595792	8.450360987	0.577219326
9.825753587	259.3043537	33.99152587	45.1139615	25.08977253	7.442984246	0.607265433
13.87889508	266.7233589	112.8838477	37.64619167	30.35470903	8.408049841	0.60209068
13.05236257	262.8388107	70.97887726	27.81123036	26.6696537	6.196325001	0.6391976
9.058033557	268.3270112	74.58428635	32.15326115	26.53735416	6.167367695	0.619289418
10.11095047	255.8716074	42.13048935	41.45200782	27.74781453	8.510935018	0.619909329
12.8823717	270.6262206	44.66413669	29.99532416	25.44955012	6.575423082	0.627971631
8.561206843	260.5143062	45.4370915	42.23671218	22.97906194	6.568070162	0.583183775
15.72818014	263.2879515	49.33015242	31.14622389	23.43938847	7.821349028	0.564304763
9.605921515	267.1482861	49.77675429	31.24431193	27.68616252	6.416989773	0.639271246
15.42930123	267.0227364	50.90346322	37.33884913	29.75428796	7.640567814	0.597882287
30.27439264	265.3017219	85.56965644	35.17437294	24.33874321	6.7027648	0.622747849
36.63229076	263.5652451	87.98820274	46.28447883	27.28476816	7.908608641	0.616869532
30.98053155	269.6859698	93.08223076	39.58833496	25.58343687	8.534986362	0.621660433
37.24221335	265.9780619	95.47962784	35.37054903	28.36686967	7.993823123	0.599897687
37.43122277	270.3780569	96.78642822	29.06021813	25.08751194	6.259275724	0.632707779
34.64186478	267.9376142	128.3566098	37.28653551	25.2647716	8.481873225	0.585540394
28.10543384	259.5891493	46.54749597	30.83888135	20.12902916	3.904367746	0.514365547
23.77292359	261.1091526	49.17826116	37.0576634	26.83739224	9.66652721	0.600923322
37.30973144	257.2257928	49.52335656	34.62507989	26.13999467	8.91674525	0.622514442
38.38789511	262.9404897	71.33658453	33.72920907	27.72945411	9.133203376	0.657414604
23.91890686	257.7091054	73.22551716	45.35591201	28.11668345	8.36356433	0.62995293
33.7945953	259.9012545	72.88510921	31.73475216	24.6518634	8.146196573	0.647754659
27.68507709	259.2932389	77.13174524	41.22313571	24.18037204	7.137305969	0.594486686
30.34857246	266.0919251	27.95161353	29.77953046	26.93486783	8.773323878	0.621448448
24.28275882	260.8698529	29.66056176	37.79659334	20.60033192	7.465935076	0.543829802
30.94496725	258.6094261	29.51265761	36.34489027	26.66360613	9.06795386	0.610373067
39.49193823	257.2300041	34.92686582	25.82985185	25.28776616	7.492911062	0.643457598
45.70423158	268.7274404	108.6621211	41.00080281	26.89395569	9.565690594	0.627616752
60.24391692	259.7869525	130.4750874	31.80014419	27.86826723	6.997096229	0.629808785
55.60134517	264.8809529	132.6215084	34.42236459	31.45747173	9.850722101	0.629687764
51.47144367	263.6917396	135.1585485	30.93696939	28.2529985	7.630172041	0.639242375
57.30150136	258.2812907	136.4437659	35.94599889	30.14568763	8.045151788	0.632352916
47.12196664	266.7366484	139.7090923	35.48171548	29.06951882	8.216280468	0.62847916
51.61598729	269.5727237	85.74797803	30.36151953	29.9348535	9.391353795	0.623107285
49.50268404	265.680515	87.10167226	29.98878496	27.47353327	6.997011758	0.589088104
58.15560821	260.9112504	87.12376393	34.26542372	29.45292392	10.20506054	0.629397313
46.1875025	263.7455113	91.24458158	32.66331899	25.77487993	7.351315297	0.635388968
55.01756579	259.5790354	93.38822857	31.95708506	26.13877532	8.250777778	0.562464405
60.78439403	259.8232896	93.09649686	24.99283387	30.45005413	9.738766297	0.636942079
59.34347741	256.0627114	94.05635019	31.55819368	33.24413184	9.053798045	0.653287006
57.19172083	264.6378894	96.43159827	23.42342515	28.34730363	6.16912506	0.618657225
55.55521579	268.1612763	23.50074495	29.48526633	22.98415075	7.202573446	0.634562319
45.46255554	267.043098	27.77007242	37.38462355	20.30423106	6.41647013	0.603038304
54.21176309	256.9664004	68.78952575	29.83838329	32.89165389	9.113525349	0.624604104
56.10543478	267.7093478	69.21252174	28.1251121	23.0646889	6.918317933	0.603292452
46.09448558	267.6591024	69.88935724	24.71164814	31.24876269	8.554614002	0.643952272
56.07320679	262.9332855	71.75508441	30.98928302	21.61148545	5.941563138	0.599473062
52.29599177	259.1652963	73.0912428	27.01344759	30.44944447	7.174403378	0.617585456
58.36387345	257.6549804	73.36329348	37.41078036	31.54424431	9.474382307	0.621748931
57.69824664	267.6778534	74.98589784	43.26990625	29.21185706	8.255256019	0.586537708
48.55587555	257.7227836	76.15269787	30.9500478	33.61740445	9.469231914	0.641227098
51.37976177	260.5900495	77.67871306	31.95054586	29.90146831	9.437847629	0.61887639
50.96785578	269.0124882	43.77444011	24.6200993	23.67543094	7.331562608	0.636076897
57.57510261	264.0927922	46.00389976	38.62053292	25.35059272	6.151782082	0.626519613
49.22642384	265.6657959	45.08652467	27.43195659	28.88204962	7.933910816	0.638517114
45.54436838	262.9899267	47.70435277	31.84591861	26.00803648	7.51933037	0.646246651
55.42264361	259.9874867	51.9315035	32.71563261	28.28353937	9.948546709	0.608697712
53.70365692	255.3204599	55.80098136	43.1522006	28.34764527	7.945619123	0.580281748
58.38404179	256.1128902	56.15076109	17.68200491	22.29395737	4.739095296	0.625744907
57.5624119	261.0489958	57.69277509	24.82935379	25.74433417	5.732416228	0.594446351
80.98264069	261.7070617	193.2978616	39.18290438	34.12867648	9.856309984	0.617408804
68.87400212	263.8646518	148.1964352	33.87961074	32.84297901	7.338527548	0.605845591
72.76272966	260.9529199	153.3966979	36.81571289	31.74457189	6.358726093	0.560199039
77.68983227	264.9556298	157.235481	31.8132226	26.81337383	7.035237376	0.622636378
72.35560575	267.6759556	158.0417143	32.95758312	27.20448817	8.296093253	0.576939728
79.72188574	261.3323796	160.3633938	40.63460744	30.0979822	9.525611284	0.580863647
66.10144469	269.7117282	220.8136004	32.21865318	34.18394152	8.934248568	0.645872145
70.83409686	263.4903141	173.0511361	42.46558428	31.03361967	7.688257687	0.635203828
71.65116007	269.9629992	176.3462469	32.39521166	31.90540208	8.742627469	0.607330052
71.05013203	261.792466	179.364037	29.8645401	31.73350069	6.428867579	0.639992371
72.36023119	266.8313859	179.4955289	47.97159321	37.24078605	9.240754118	0.595504237
69.08753354	263.6343933	106.2019024	23.59344442	27.84106773	7.489188027	0.612938882
71.61644576	268.1096974	106.4913247	26.5818602	31.0798814	8.027533524	0.64087172
75.22989561	268.9949741	108.674781	29.31524705	27.54342656	5.511372524	0.598729901
67.06653242	265.5600733	110.549476	39.53602134	28.85275585	9.356798108	0.548890252
78.2761395	263.9655067	112.1082884	31.45356643	31.9838412	8.649205911	0.610272178
73.43902894	266.1490433	112.7012692	25.52904851	25.26281697	7.406308522	0.591813075
77.41257379	269.461107	112.2602134	20.95814562	27.30068234	6.841663608	0.624253127
68.98212363	257.5631236	114.8339258	26.18296881	24.93614202	6.157525816	0.61461785
69.95704712	270.8554817	115.1098037	27.47773101	26.09452743	6.759181432	0.643144859
79.99884211	255.3107536	118.0698698	36.36450788	23.80836568	6.348363372	0.610101855
75.22617393	266.13319	118.6597057	32.85949508	26.68169218	6.926445374	0.628324842
68.65272688	261.1309723	120.3914546	24.32583516	28.01977743	6.402093162	0.607872809
68.25863752	266.0245729	127.9217678	31.26392954	26.70624234	8.354972451	0.630721636
74.12380508	260.8628451	133.5174156	33.48071936	30.62134283	8.408224911	0.649449882
69.42480047	256.0429682	136.7168664	36.37758629	27.63150705	4.837720756	0.640091627
68.64421439	268.5908196	136.5569784	34.80163837	25.71191863	7.851499083	0.606136543
77.61650488	258.9266555	137.8557517	26.78457549	29.28513739	6.452419014	0.576891808
72.87271466	258.1076007	141.3119476	32.7025542	30.33404708	7.581025793	0.63135556
67.92998278	256.4895739	86.62184783	35.32477461	28.80288846	9.779387032	0.629273009
77.50196845	265.1586017	89.07168568	26.94151636	24.76451588	6.665448779	0.617100837
80.74201282	256.3067872	90.72148994	29.58989358	26.1105966	7.719096581	0.613072364
76.65955445	268.4226207	91.71556912	34.76894235	27.33588441	5.961687687	0.643319056
77.52681752	259.4475147	91.6304984	36.80263448	29.39882099	9.692709433	0.630709521
66.79215555	260.6897977	92.81014086	36.07024375	26.07973222	7.096676291	0.625926001
67.22241865	264.4333183	97.19499915	23.07030818	28.48167379	7.44892574	0.641887526
74.18739986	269.7588619	97.46261263	27.22924129	27.3487488	8.143044289	0.614167869
78.37750296	258.9449954	25.71622716	34.28504133	27.75495792	8.736832813	0.639010405
78.58902063	268.2941131	26.25357241	29.48526633	23.87280154	7.959130051	0.659944812
71.51352349	269.7318121	30.52367114	32.15326115	28.96583803	9.151462593	0.638518496
78.75900544	261.3301533	31.11664167	21.62514432	26.12599059	5.728661844	0.642772247
78.89783584	266.7363947	32.35792043	24.73780495	27.16681142	7.422903063	0.649396473
74.5421838	261.9308246	32.56816129	19.46066813	27.2239027	6.256283357	0.626127291
76.05148824	270.2507568	33.0694341	21.1347041	25.03866683	6.586813205	0.631504194
74.43903077	266.7324	35.15126154	21.67745795	27.1816565	5.289951336	0.647686818
